2017,Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,Letter,2018,Test average (individual),Test average (overall),Standards,Exam,Overall,Letter,,2017 Grade distribution,,,2018 Grade distribution,,
,93.47,94.1,81.89,80,76,84.9,A-,,85.5,87.3,103,90,91.5,A,,,,,,,
,88.11,90.3,84.03,100,77.5,84.5,A-,,90.5,92.6,105,82.9,91.4,A,,,,,,,
,86.11,88.7,81.5,100,71.5,84,A-,,89.4,92.4,101,85.3,91.3,A,,,,,,,
,85.61,88.3,81.39,100,75,83.9,A-,,96.4,96.8,85,92.6,91.3,A,,,,,,,
,88.61,63.3,81.05,90,78.5,83.5,A-,,84.8,88,94,94.2,91.2,A,,,,,,,
,91.11,89.9,81.03,100,71.5,83.4,B+,,94.6,94.7,105,79.5,91,A,,,,,,,
,86.89,89,65.93,100,75,83.4,B+,,85.1,86.8,100,89.5,90.8,A,,,,,,,
,83.75,87.9,91.51,100,67,83.3,B+,,86.7,87.7,105,84.7,90.3,A-,,,,,,,
,84.67,86.5,82.37,100,80,83.2,B+,,84.7,88.2,105,85.3,90.3,A-,,,,,,,
,73.61,77,86.16,100,78.5,82.9,B+,,82.6,86.4,105,85.3,90,A-,,,,,,,
,83.17,86.5,91.97,95,72,82.9,B+,,85.9,87.4,105,83.7,89.9,A-,,,,,,,
,88.89,89.6,85.41,90,84.5,82.8,B+,,84.9,85.7,103,85.8,89.6,A-,,,,,,,
,80.61,83.2,78.32,100,78,82.7,B+,,92.1,92.7,98,82.1,89.4,A-,,,,,,,
,81.19,85.7,92.35,100,68,82.6,B+,,87.3,87.6,105,82.6,89.4,A-,,,,,,,
,83.86,86.9,77.13,100,70,82.3,B+,,86.3,88.5,102,82.1,89.1,A-,,,,,,,
,90.14,92.1,67.46,100,75,82.3,B+,,86.7,88.6,95,87.9,88.4,A-,,,,,,,
,85.19,88.7,91.71,100,65,82.3,B+,,90.7,92.9,85,84.2,88.1,A-,,,,,,,
,79.78,84.6,84.29,100,68.5,82,B+,,79.8,85.1,105,81.1,88.1,A-,,,,,,,
,84.58,87.4,80.61,100,71.5,82,B+,,87.6,88.2,82,90.5,88.1,A-,,,,,,,
,83.33,86.7,92.37,100,66.5,81.9,B+,,80.9,85.7,105,80,88,A-,,,,,,,
,82.64,84.9,71.9,100,78.5,81.8,B+,,97.3,97.7,84,83.7,87.8,A-,,,,,,,
,79.72,82.9,82.75,100,69,80.5,B,,87,88.3,94,83.7,87.5,A-,,,,,,,
,75.42,81.8,75.1,100,69.5,80.5,B,,87.6,89,92,82.6,87.2,B+,,,,,,,
,88.39,89.7,75.25,90,69,80.2,B,,81.8,83.8,104,82.1,87,B+,,,,,,,
,80.97,84.4,77.05,100,70,80,B,,86.6,89.9,100,76.3,86.8,B+,,,,,,,
,86.94,90.6,48.95,100,71,79.7,B,,85.1,89.1,97,77.4,86.7,B+,,,,,,,
,83.36,84.5,56.12,100,77.5,79.6,B,,84,85.2,89,86.8,86.6,B+,,,,,,,
,72.14,78.1,78.78,100,72.5,79.6,B,,88.1,89.5,90,80,86.2,B+,,,,,,,
,68.14,77.1,96.25,100,65,79.2,B,,88.2,90.1,94,78.9,85.9,B+,,,,,,,
,82.22,85.6,76.05,100,65,78.9,B,,85,89,95,75.8,85.7,B+,,,,,,,
,84.86,86.7,65.06,100,71,78.8,B,,86.6,88.6,81,88.9,85.5,B+,,,,,,,
,78.06,80.2,85.57,100,64,78.8,B,,93.5,94.2,56,92.4,85.1,B+,,,,,,,
,85.81,87.3,81.99,100,61,78.4,B,,83.6,85.3,97,75.8,84.8,B+,,,,,,,
,79.17,84.7,76.85,100,63,78.2,B,,78.8,82.6,92,82.6,84.8,B+,,,,,,,
,79.36,83.2,91.07,100,57,78,B,,79.7,84.2,105,72.6,84.7,B+,,,,,,,
,77.64,82.5,51.01,100,87,77.7,B,,82.6,86.5,98,74.2,84.6,B+,,,,,,,
,69.67,76.1,74.5,100,74,77.6,B,,80.2,83.9,94,82.6,84.6,B+,,,,,,,
,75.78,80.4,83.36,100,65,77.3,B,,78.8,84.6,105,72.1,84.6,B+,,,,,,,
,84.92,87.3,73.38,100,61.5,77.2,B,,79.3,83.7,105,72.1,84.5,B+,,,,,,,
,81.67,83.6,57.81,85,75.5,77.2,B,,75.5,79.9,104,76.3,84.1,B,,,,,,,
,88.75,89.5,77.63,100,64.5,77.1,B,,81.4,85.7,98,75.8,84,B,,,,,,,
,65.5,74.2,89.87,100,63,76.7,B,,81.8,85,101,72.6,83.8,B,,,,,,,
,72,77.2,87.33,100,61,76.7,B,,79.5,83.5,102,73.2,83.4,B,,,,,,,
,77.83,80.5,84.88,100,65.5,76.7,B,,77.3,82.4,105,74.2,83.3,B,,,,,,,
,68.31,74.9,70.88,100,71.5,76.6,B,,82.1,84.5,105,67.4,83.2,B,,,,,,,
,75.5,78.4,77.9,95,69.5,76.5,B,,87.4,90,92,73.7,83,B,,,,,,,
,80.56,84.2,63.94,80,76,76,B,,75.3,78.2,94,80.5,83,B,,,,,,,
,79.92,82.4,76.92,100,58,75.8,B,,76.8,82.4,93,74.7,82.3,B,,,,,,,
,59.44,69.9,93.15,100,65,75.5,B,,74.4,78,100,74.7,81.9,B,,,,,,,
,70.17,76,87.97,100,63,75.3,B,,73.4,80.1,99,70.5,81.4,B,,,,,,,
,69.61,77.1,84.49,100,62.5,75.2,B,,80.1,82.5,105,69.5,81.1,B,,,,,,,
,78.36,82.5,83.55,100,54.5,75.1,B,,65.4,73.4,104,73.7,81,B,,,,,,,
,68.28,75,81.39,100,64.5,75.1,B,,77,83.2,105,71.1,80.4,B,,,,,,,
,59.94,70.1,93.3,100,60,74.9,B,,76.3,80.4,102,67.4,80.1,B,,,,,,,
,74.44,80.2,92.11,90,57,74.7,B,,80.7,85.1,91,80,80,B,,,,,,,
,80,81,72.34,100,60,74.7,B,,79.2,82.1,84,72.1,80,B,,,,,,,
,66.03,73.8,94.64,90,59,74.5,B,,81,83,101,65.3,79.9,B,,,,,,,
,78.28,80.2,83.41,100,56.5,73.9,B-,,76.1,79.9,99,65.8,79.8,B,,,,,,,
,71.53,77.4,64.5,100,64,73.4,B-,,71.9,77.4,105,64.7,79.8,B,,,,,,,
,75.53,77.3,70.82,100,61.5,73.1,B-,,79.6,84.1,69,77.4,79.1,B,,,,,,,
,64.86,72.3,85.27,100,56.5,72.9,B-,,71.2,74.4,92,76.8,79,B,,,,,,,
,66.97,73.4,81.49,100,54.5,72.3,B-,,77.1,80.8,88,72.6,78.4,B,,,,,,,
,64.14,73.1,84.86,100,66,72.3,B-,,75.3,81.5,98,74.2,78.3,B,,,,,,,
,76.22,80.6,79.07,65,64.5,72.1,B-,,80.2,84.3,90,64.2,77.9,B-,,,,,,,
,69.78,76.5,80.89,100,50,72.1,B-,,82.7,86.7,84,65.5,77.9,B-,,,,,,,
,69.69,77.1,93.3,100,46,72,B-,,85,87.4,88,72.9,76.8,B-,,,,,,,
,69.36,77.6,64.8,100,59,70.7,C+,,80.8,83.4,63,77.4,76.8,B-,,,,,,,
,62.11,70.6,72.06,100,61,70.5,C+,,75.4,80.4,89,63.7,76.8,B-,,,,,,,
,66.44,67,70.95,100,69.5,70.2,C+,,78.3,83.8,70,75.3,76.6,B-,,,,,,,
,66.22,73.8,87.96,100,46,70.1,C+,,71.8,75,98,66.8,76.1,B-,,,,,,,
,58.28,65.4,79.96,100,58.5,70.1,C+,,79.3,82.8,92,70,75.5,B-,,,,,,,
,69.61,75.9,80.97,95,51,69.8,C+,,90.8,91.6,71,74.2,75.3,B-,,,,,,,
,79,82.6,73.07,80,55.5,69.7,C+,,70.2,74.7,97,61.1,74.6,C+,,,,,,,
,71.67,76.2,78.64,80,56,69.7,C+,,70.4,73.2,102,57.9,74.4,C+,,,,,,,
,73.47,78.7,55.64,60,68,69.6,C+,,72.7,78.1,82,65.8,74.4,C+,,,,,,,
,65.58,73.3,81.88,100,49.5,69.5,C+,,75.4,81.8,94,58.9,74.4,C+,,,,,,,
,75.89,80.7,83.61,95,47.5,69.3,C+,,83.6,87.3,69,71.6,74.3,C+,,,,,,,
,59.92,70,81.5,100,47,68.8,C,,67.4,70.9,89,64.7,74.3,C+,,,,,,,
,71.03,75.6,81.09,100,45.5,68.3,C,,76.3,77.5,84,67.4,73.9,C+,,,,,,,
,69.31,75.9,82.07,100,43,68.1,C,,71.1,76.4,81,68.4,73.6,C+,,,,,,,
,70.56,74.7,84.46,90,57,67.7,C,,78.3,82,90,56.8,73.3,C+,,,,,,,
,45.56,60.4,88.67,100,51.5,67.1,C,,67.1,74.1,96,53.7,72.6,C+,,,,,,,
,67.39,71.5,63.2,100,59,67.1,C,,63.5,66.9,99,66.3,72.5,C+,,,,,,,
,52.58,64.7,83.65,95,46.5,66.4,C,,75,78.9,79,60,72.5,C+,,,,,,,
,69.44,76.6,88.75,75,45.5,66.4,C,,65.9,74.1,105,50.5,72,C,,,,,,,
,69.53,75.2,41.01,100,56.5,65.2,C,,69.4,75.9,72,71.1,71.9,C,,,,,,,
,64.06,69.9,69.9,100,45.5,64.8,C,,75.5,79.8,90,58.9,71.7,C,,,,,,,
,68.31,76,90,90,36.5,64.7,C,,72.5,76,95,60,71.5,C,,,,,,,
,66.28,73.2,89.97,100,33.5,64.4,C,,68.3,72.2,79,65.3,71.1,C,,,,,,,
,61.74,63.9,82.03,100,49,64.2,C,,71.4,76.2,82,61.8,70.2,C,,,,,,,
,68.03,71.9,77.4,100,48,64.2,C,,54.5,66.2,101,60,70,C,,,,,,,
,66.25,73.1,57.01,100,49,64.1,C,,66.3,70.7,70,68.9,69.9,C,,,,,,,
,61.28,69.6,88.37,100,37,64,C-,,76.1,79.8,72,56.8,69.5,C,,,,,,,
,63.08,71.2,71.49,100,35.5,63.9,C-,,66.1,73.2,101,47.9,68.8,C,,,,,,,
,64.97,70,75.91,85,46.5,63.6,C-,,70.9,77.8,95,51.1,68.8,C,,,,,,,
,56.47,67.7,83.08,90,45,63.4,C-,,75.4,79.5,74,61.6,68.8,C,,,,,,,
,77.64,81.5,72.54,100,39,63.2,C-,,74.3,76.9,61,63.7,67,C,,,,,,,
,59.17,65.8,73.98,100,44,63,C-,,64.9,70.1,76,57.9,66.9,C,,,,,,,
,68.47,74.9,80.58,50,47.5,63,C-,,66.2,74.6,86,48.4,64.9,C-,,,,,,,
,70.89,76.7,51.59,80,44,62.9,C-,,57.6,67.2,79,54.7,64.7,C-,,,,,,,
,61.64,70.3,80.89,100,34,62.8,C-,,71,77.7,82,40.5,64.7,C-,,,,,,,
,66.39,73,64.25,90,46,62.8,C-,,70.4,76.4,70,52.6,63.7,C-,,,,,,,
,66.94,75.9,30.42,100,56.5,62.5,C-,,59.3,65.6,98,47.9,63.6,C-,,,,,,,
,60.44,69.7,56.94,80,47,62.3,C-,,70.4,75.7,70,50,63.5,C-,,,,,,,
,61.69,68.2,72.63,100,39.5,62.2,C-,,77.2,81.3,66,41.6,63.1,D+,,,,,,,
,47.36,61.3,86.06,85,56,62.1,C-,,62.9,67,73,53.7,63,D+,,,,,,,
,43.47,58.9,85.75,90,43,62,C-,,50.9,59.2,93,47.4,62.9,D+,,,,,,,
,61.33,70.3,47.49,85,56,61.8,C-,,66.6,73.6,75,57.9,62.7,D+,,,,,,,
,70.97,74.8,49.85,35,68.5,61.2,C-,,69.6,71.5,65,47.9,62.7,D+,,,,,,,
,59.72,68.7,73.54,100,30.5,60.2,D+,,61,64.4,58,63.7,62,D+,,,,,,,
,58.97,62.9,80.59,30,68,60.2,C-,,46.9,58.6,57,63.7,62,D+,,,,,,,
,63.03,72.3,94.64,90,25,59.3,D+,,65.3,72.3,31,63.2,61.2,D+,,,,,,,
,62.5,71,76.88,100,32,58.9,D+,,63.1,71.1,33,61.6,60.4,D+,,,,,,,
,72.5,79,78.78,90,18,58.8,D+,,59.7,68.4,46,55.8,60.2,D+,,,,,,,
,56.58,63.2,67.01,100,39,58.6,D+,,51.3,60.4,62,62.1,59.9,D,,,,,,,
,65.69,68.6,82.06,75,35.5,58.5,D+,,64.3,70.8,58,49.5,59.6,D,,,,,,,
,57.94,64.9,71.48,100,31,58.5,D+,,69.7,76.7,44,47.4,58.8,D,,,,,,,
,52.81,64.4,77.48,100,31,57.7,D+,,,61.2,81,36.3,56.7,D,,,,,,,
,62.72,71.8,31.18,75,51,57.1,D+,,46.4,56.2,85,36.3,56.7,D,,,,,,,
,57.67,62.3,49.22,95,44.5,57.1,D+,,52.5,65.4,69,41.1,56.3,D,,,,,,,
,56.06,66.5,81.48,100,33.5,56.8,D,,57.5,66.4,36,61.6,55.7,D,,,,,,,
,54.42,64.2,78.57,90,33.5,56.8,D,,,66.7,64,51.6,55.6,D,,,,,,,
,41.33,54.8,76.38,85,37,56.5,D,,63.4,67.3,47,32.1,52.6,F,,,,,,,
,41.28,54.6,79.37,100,29.5,56.1,D,,,68.1,55,33.7,51.9,F,,,,,,,
,56.19,66.7,82.35,100,18,56,D,,49.6,56.6,56,33.2,50.3,F,,,,,,,
,65.69,73.6,73.66,80,28.3,55.7,D,,56.8,68,25,50,50.2,F,,,,,,,
,68.47,73.6,38.98,65,35,55.7,D,,53.6,63.7,56,28.9,49.9,F,,,,,,,
,55.81,65.9,79.09,95,17.5,55.2,D,,57.5,64.8,47,40.5,48.2,F,,,,,,,
,63.86,68.7,70.17,80,36,55,D,,47.7,59.9,33,45,46.2,F,,,,,,,
,64.72,65.2,27.2,75,46,53.7,D,,,63.1,26,32.1,44.9,F,,,,,,,
,51.81,60,63.35,100,31.5,53.6,D,,40.3,56.8,54,33.7,44.2,F,,,,,,,
,49.86,60.5,77.54,95,16,51.9,D,,46.4,52.8,39,26.3,39.4,F,,,,,,,
,46.11,49.1,28.09,70,56.5,51.8,D,,,75.8,24,13.7,38.6,F,,,,,,,
,52.06,63.1,80.46,100,11.5,51.6,D,,32.4,44.2,29,41.1,38,F,,,,,,,
,52.78,63.6,32.57,45,48.5,49.8,D,,42.6,50.8,27,30.5,36.8,F,,,,,,,
,37.61,54.4,55.69,100,22.5,49.2,D,,,57.5,9,27.4,36.6,F,,,,,,,
,39.11,49,52.87,100,24,48.3,D,,36.9,51.5,35,22.6,34.1,F,,,,,,,
,44.08,55.8,39.44,100,32,48.2,D,,46.2,49.4,59,,33.6,F,,,,,,,
,44.56,51.5,72.57,35,45.5,47.4,F,,43.6,53.2,25,15.8,32.2,F,,,,,,,
,63.53,68.7,10,60,32.5,46.3,F,,,50.5,13,22.1,30.4,F,,,,,,,
,46.58,57.7,84.95,100,7.5,45.3,F,,,37.4,20,22.1,26.5,F,,,,,,,
,38.33,51.7,81.9,100,5.5,43.9,F,,,39.5,10,,20.4,F,,,,,,,
,22.78,26,89.55,50,40,43.6,F,,,21.4,16,,13.7,F,,,,,,,
,40.89,50.3,48.18,90,16.5,43.1,F,,,,,,,,,,,,,,
,57.06,65.6,12.35,55,37,43,F,,,,,,,,,,,,,,
,58.78,66.7,25.91,10,32.5,41.7,F,,,,,,,,,,,,,,
,56.33,66.3,20.59,35,30.5,41.6,F,,,,,,,,,,,,,,
,43.08,55,39.75,100,11,40.4,F,,,,,,,,,,,,,,
,39.17,55.4,52.32,60,11.5,37.3,F,,,,,,,,,,,,,,
,36.64,47.1,16,30,,34.9,F,,,,,,,,,,,,,,
,16.92,39.4,50.95,80,7,32.6,F,,,,,,,,,,,,,,
,47.11,59.3,14.8,15,16,30.7,F,,,,,,,,,,,,,,
,20.94,41.8,0,45,3.5,21.4,F,,,,,,,,,,,,,,
,7.78,14.2,0,50,,16.6,F,,,,,,,,,,,,,,
,0.56,6.1,0,10,,4.8,F,,,,,,,,,,,,,,
,,,,,,,,,,,(86.3/105),,,,,,,,,,
AVERAGES:,72.8,77.7,75.5,92.0,61.1,72.7,,,79.4,81.6,82.2,72.5,78.2,,,,,,,,
,Test average (individual),Test average (overall),Assignments,Tutorials,Exam,Overall,,,Test average (individual),Test average (overall),Standards,Exam,Overall,,,,,,,,
,,,83.75,,,,,,,,,,,,,,,,,,
